,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
135,3744,paddyson#5479,pathrocknetwork,Obsolete,False,2021-08-17 08:30:00,pathrocknetwork,agoric150q47t6jnunq0q4zer57x3mna8l3yf5mx3elrd
136,3745,paddyson#5479,pathrocknetwork,Completed,False,2021-08-17 08:31:00,pathrocknetwork,agoric150q47t6jnunq0q4zer57x3mna8l3yf5mx3elrd
137,3803,pfrp#1964,EarnX,Completed,False,2021-08-17 21:27:00,EarnX,agoric1xtrgyyvujyrachcpq6ap5fwahu2qnphs83sgp8
138,3810,pkr/#9983,w3m,Completed,False,2021-08-18 11:40:00,w3m,agoric14vr9da80xny5tdaun2cd9pcdtpf2trgmtpe2rg
139,3742,sebytza05#9060,sebytza05,Completed,False,2021-08-17 07:54:00,sebytza05,agoric1ryach0838kemfr7j8e7nya0d9p2maqp8hejy20
140,3762,simak#4774,s1m,Completed,False,2021-08-17 11:39:00,s1m,agoric10uf3hqup569my96vpwspy9anm34ta23k98v9ze
141,3759,svAbhishek | OmniFlix Network#2264,OmniFlix Network,Completed,False,2021-08-17 11:25:00,OmniFlix Network,agoric164t6haz6a369x9hdtctjwwu6ef8jhf5q2d5dwl
142,3757,tettghy#4808,Pornhub,Completed,False,2021-08-17 11:17:00,Pornhub,agoric1fajqpy3ny83zxh6ejs4hl0mf4sk0zk6kx0p49u
143,3853,weilaikeqi#8418,kerwinnode,Obsolete,False,2021-08-19 13:17:00,kerwinnode,agoric1fp0ly25557k5mj5hepcc3vrwva2metpt6jlewf
144,3855,weilaikeqi#8418,kerwinnode,Obsolete,False,2021-08-19 13:18:00,kerwinnode,agoric1fp0ly25557k5mj5hepcc3vrwva2metpt6jlewf
145,3854,weilaikeqi#8418,kerwinnode,Completed,False,2021-08-19 13:18:00,kerwinnode,agoric1fp0ly25557k5mj5hepcc3vrwva2metpt6jlewf
146,3715,windows | Nodeasy #4629,Nodeasy.com,Obsolete,True,2021-08-16 23:33:00,,
147,3716,windows | Nodeasy #4629,Nodeasy.com,Completed,False,2021-08-16 23:34:00,Nodeasy.com,agoric13de33dfcz7qcmmvfmrj72mhn6df3s36nywawn2
148,3682,wiseoldman#8041,WM-Supernode,Completed,False,2021-08-16 13:17:00,WM-Supernode,agoric1gpy4cezqzds0mlvr4qv45lvm4nww04lcphajww
149,3765,wombat#7690,wombat,Completed,False,2021-08-17 11:58:00,wombat,agoric1r5r72hrm8t4svhar8cs7v9e69mw38ctvc03rn7
